Node_Index,Node_ID,Cluster_Label
244,J04030201020700699802,3
245,J04030201020700699823,1
246,J04030201020700699824,5
247,J04030201020700699825,1
248,J04030201020700699826,1
249,J04030201020700699829,5
250,J04030201020700699830,1
251,J04030201020700699831,1
252,J04030201020700699832,1
253,J04030201020700699833,5
254,J04030201020700699834,5
255,J04030201020700699835,1
256,J04030201020700699836,5
257,J04030201020700699837,5
258,J04030201020700699838,1
259,J04030201020700699839,1
260,J04030201020700699840,1
261,J04030201020700699841,5
262,J04030201020700699842,1
263,J04030201020700700374,1
264,J04030201020700700375,1
265,J04030201020700700376,1
266,J04030201020700700377,1
267,J04030201020700700380,7
268,J04030201020700700381,1
269,J04030201020700700382,1
270,J04030201020700700383,1
271,J04030201020700700384,1
272,J04030201020700700385,1
273,J04030201020700700387,7
274,J04030201020700700388,1
275,J04030201020700700389,1
276,J04030201020700700390,1
277,J04030201020700700391,1
278,J04030201020700700420,5
279,J04030201020700700421,5
280,J04030201020700700422,5
281,J04030201020700700423,5
282,J04030201020700700424,5
283,J04030201020700700425,1
284,J04030201020700700426,1
285,J04030201020700700428,6
286,J04030201020700700498,1
287,J04030201020700709690,6
288,J04030201020700709691,6
289,J04030201020700709692,5
290,J04030201020700709693,5
291,J04030201020700709694,5
292,J04030201020700709695,5
293,J04030201020700709696,5
294,J04030201020700709697,5
295,J04030201020700709698,5
296,J04030201020700709699,5
297,J04030201020700709700,6
298,J04030201020700709712,1
299,J04030201020700709713,1
300,J04030201020700709714,1
301,J04030201020700709715,5
302,J04030201020700709716,6
303,J04030201020700709717,6
304,J04030201020700709718,6
305,J04030201020700709719,6
306,J04030201020700709720,6
307,J04030201020700709761,6
308,J04030201020700709788,0
309,J04030201020700709792,0
310,J04030201020700709796,6
311,J04030201020700709797,0
312,J04030201020700709800,0
313,J04030201020700709803,6
314,J04030201020700709807,6
315,J04030201020700709810,5
316,J04030201020700709813,6
317,J04030201020700709814,6
318,J04030201020700709815,6
319,J04030201020700709816,6
320,J04030201020700709817,6
321,J04030201020700709826,6
322,J04030201020700709829,0
323,J04030201020700709832,4
324,J04030201020700709835,3
325,J04030201020700709836,0
326,J04030201020700709839,4
327,J04030201020700709840,4
328,J04030201020700709841,4
329,J04030201020700709842,4
330,J04030201020700709843,4
